date,heading,text
2020-01-23,Travel restrictions start,"Updating guidelines over the next few days, the government advises against travel to China."
2020-01-30,First cases,First two cases of COVID-19 confirmed.
2020-04-16,Tom Moore,Tom Moore at 99 completes 100 laps of his garden.
2020-04-23,First vaccine trials,First European vaccine trials begin in Oxford.
2020-04-30,Past peak,"Prime Minister Boris Johnson says the UK is ""past the peak"" of the COVID-19."
2020-05-10,Stay alert,"The UK government updates their message to ""stay alert""."
2020-05-13,Some shops open,"Changes of restrictions allowing the re-opening of garden centres, sports courts and recycling centres. "
2020-08-03,Eat out,"The ""Eat out to Help Out"" scheme begins. With a 50% discount on meals at indoor venues."
2020-09-08,Sharp rise of cases,"Health Secretary Matt Hancock tells the House of Commons the ""sharp rise"" in COVID-19 cases is ""concerning""."
2020-11-11,"50,000 deaths","Uk becomes the fifth country to record 50,000 COVID-related deaths"
2020-12-25,Cases over 70k,"COVID-related deaths in the UK passes 70,000."
2021-01-04,First astraZeneca COVID vaccine,"Brian Pinker, 82, becomes the first person in the country to receive the Oxford/AstraZeneca COVID vaccine."
2021-01-11,Over 2 million vaccined,Over 2.3 million people have now received a COVID vaccine.
2021-01-26,"100,000 deaths recorded","The Office for National Statistics said that the 100,000 UK deaths was surpassed in the week to 15 January."
2021-03-20,Half UK vaccinated,About half of the UK population have been vaccinated.
2021-05-17,Restrictions ease,"COVID rules are eased in England, Scotland and Wales. Pubs and restaurants are permitted to re-open."
2021-06-05,Over 49 million vaccinated,The Uk passes a large milestone of 40 million people vaccinated.
2021-07-19,English restrictions lifted,England lifts all restrictions.
2021-07-16,Record cases,"UK records over 51,870 COVID cases per day; for the first time since January 2021."
2021-08-10,75% population vaccinated,The government figures showed that about 75% of the population have received two COVID vaccines.
2021-11-07,3rd vaccine,Over 10 million people have recevied their 3rd dose of a vaccine.
2021-12-03,Omicron rises,Confirmed cases of Omicron exceeds 100.
2021-12-19,"82,000 COVID cases","Over 82,000 COVID cases were recorded in the UK, with over 12,000 identified as the Omicron variant."
2022-01-05,One in twenty,Figures suggest that 1 in 20 people had covid on New Year's Eve.
